country,year,sex,age_group,value
YE,2000,m,15--24,789
ZA,2000,m,15--24,723
ZM,2000,m,15--24,2175
AD,2000,m,25--34,1
AE,2000,m,25--34,4
AF,2000,m,25--34,183
AG,2000,m,25--34,0
AL,2000,m,25--34,21
AM,2000,m,25--34,130
AN,2000,m,25--34,1
AO,2000,m,25--34,1003
AR,2000,m,25--34,594
AT,2000,m,25--34,30
AU,2000,m,25--34,35
AZ,2000,m,25--34,24
BA,2000,m,25--34,82
BB,2000,m,25--34,0
BD,2000,m,25--34,5643
BE,2000,m,25--34,57
BF,2000,m,25--34,274
BG,2000,m,25--34,16
BH,2000,m,25--34,3
BJ,2000,m,25--34,428
BN,2000,m,25--34,4
BO,2000,m,25--34,797
BR,2000,m,25--34,11568
BS,2000,m,25--34,7
BT,2000,m,25--34,41
BW,2000,m,25--34,605
BZ,2000,m,25--34,7
CA,2000,m,25--34,45
CD,2000,m,25--34,5833
CH,2000,m,25--34,18
CK,2000,m,25--34,0
CL,2000,m,25--34,160
CM,2000,m,25--34,842
CN,2000,m,25--34,29399
CO,2000,m,25--34,1030
CR,2000,m,25--34,53
CU,2000,m,25--34,167
CZ,2000,m,25--34,31
DJ,2000,m,25--34,347
DK,2000,m,25--34,20
DO,2000,m,25--34,481
DZ,2000,m,25--34,1516
EE,2000,m,25--34,31
EG,2000,m,25--34,827
ER,2000,m,25--34,75
ET,2000,m,25--34,5187
FI,2000,m,25--34,8
FJ,2000,m,25--34,6
FM,2000,m,25--34,0
FR,2000,m,25--34,248
GB,2000,m,25--34,130
GE,2000,m,25--34,111
GH,2000,m,25--34,1266
GN,2000,m,25--34,860
GR,2000,m,25--34,22
GT,2000,m,25--34,236
GU,2000,m,25--34,6
GW,2000,m,25--34,92
GY,2000,m,25--34,19
HK,2000,m,25--34,102
HN,2000,m,25--34,371
HT,2000,m,25--34,898
HU,2000,m,25--34,24
IE,2000,m,25--34,7
IL,2000,m,25--34,28
IN,2000,m,25--34,31090
IQ,2000,m,25--34,317
IR,2000,m,25--34,467
IT,2000,m,25--34,96
JM,2000,m,25--34,13
JO,2000,m,25--34,16
JP,2000,m,25--34,572
KE,2000,m,25--34,6653
KG,2000,m,25--34,227
KH,2000,m,25--34,1323
KI,2000,m,25--34,3
KM,2000,m,25--34,7
KP,2000,m,25--34,1508
KR,2000,m,25--34,1085
KW,2000,m,25--34,44
KY,2000,m,25--34,3
KZ,2000,m,25--34,1409
LA,2000,m,25--34,128
LB,2000,m,25--34,28
LC,2000,m,25--34,0
LK,2000,m,25--34,459
LR,2000,m,25--34,196
LS,2000,m,25--34,458
LT,2000,m,25--34,97
LV,2000,m,25--34,106
LY,2000,m,25--34,239
MA,2000,m,25--34,2423
MD,2000,m,25--34,31
MH,2000,m,25--34,4
MK,2000,m,25--34,14
ML,2000,m,25--34,430
MM,2000,m,25--34,2636
MN,2000,m,25--34,260
MO,2000,m,25--34,8
MP,2000,m,25--34,8
MT,2000,m,25--34,0
MU,2000,m,25--34,9
MV,2000,m,25--34,10
MW,2000,m,25--34,1476
MX,2000,m,25--34,1387
MY,2000,m,25--34,1138
NA,2000,m,25--34,874
NC,2000,m,25--34,3
NE,2000,m,25--34,174
NG,2000,m,25--34,3164
NI,2000,m,25--34,174
NL,2000,m,25--34,63
NO,2000,m,25--34,9
NP,2000,m,25--34,1763
NZ,2000,m,25--34,5
OM,2000,m,25--34,9
PA,2000,m,25--34,78
PE,2000,m,25--34,2875
PF,2000,m,25--34,3
PG,2000,m,25--34,70
PK,2000,m,25--34,387
PL,2000,m,25--34,303
PR,2000,m,25--34,4
PT,2000,m,25--34,375
PY,2000,m,25--34,103
QA,2000,m,25--34,19
RO,2000,m,25--34,1508
RU,2000,m,25--34,526
RW,2000,m,25--34,974
SA,2000,m,25--34,268
SB,2000,m,25--34,4
SC,2000,m,25--34,2
SD,2000,m,25--34,1511
SE,2000,m,25--34,10
SG,2000,m,25--34,9
SI,2000,m,25--34,11
SK,2000,m,25--34,15
SL,2000,m,25--34,486
SN,2000,m,25--34,1297
SO,2000,m,25--34,724
SR,2000,m,25--34,6
ST,2000,m,25--34,11
SV,2000,m,25--34,124
SY,2000,m,25--34,289
SZ,2000,m,25--34,352
TG,2000,m,25--34,168
TH,2000,m,25--34,2570
TM,2000,m,25--34,185
TN,2000,m,25--34,208
TO,2000,m,25--34,1
TT,2000,m,25--34,18
TZ,2000,m,25--34,4836
UA,2000,m,25--34,1552
UG,2000,m,25--34,3497
US,2000,m,25--34,602
UY,2000,m,25--34,48
UZ,2000,m,25--34,749
VC,2000,m,25--34,0
VN,2000,m,25--34,6147
VU,2000,m,25--34,5
WS,2000,m,25--34,1
YE,2000,m,25--34,689
ZA,2000,m,25--34,1999
ZM,2000,m,25--34,2610
AD,2000,m,35-44,0
AE,2000,m,35-44,6
AF,2000,m,35-44,149
AG,2000,m,35-44,0
AL,2000,m,35-44,14
AM,2000,m,35-44,131
AN,2000,m,35-44,2
AO,2000,m,35-44,912
AR,2000,m,35-44,402
AT,2000,m,35-44,59
AU,2000,m,35-44,25
AZ,2000,m,35-44,33
BA,2000,m,35-44,99
BB,2000,m,35-44,2
BD,2000,m,35-44,5750
BE,2000,m,35-44,39
BF,2000,m,35-44,252
BG,2000,m,35-44,20
BH,2000,m,35-44,2
BJ,2000,m,35-44,327
BN,2000,m,35-44,15
BO,2000,m,35-44,518
BR,2000,m,35-44,11906
BS,2000,m,35-44,9
BT,2000,m,35-44,30
BW,2000,m,35-44,488
BZ,2000,m,35-44,2
CA,2000,m,35-44,46
CD,2000,m,35-44,4151
CH,2000,m,35-44,10
CK,2000,m,35-44,0
CL,2000,m,35-44,198
CM,2000,m,35-44,584
CN,2000,m,35-44,25206
CO,2000,m,35-44,963
CR,2000,m,35-44,62
CU,2000,m,35-44,90
CZ,2000,m,35-44,52
DJ,2000,m,35-44,139
DK,2000,m,35-44,24
DO,2000,m,35-44,344
DZ,2000,m,35-44,610
EE,2000,m,35-44,53
EG,2000,m,35-44,667
ER,2000,m,35-44,57
ET,2000,m,35-44,3082
FI,2000,m,35-44,22
FJ,2000,m,35-44,13
FM,2000,m,35-44,1
FR,2000,m,35-44,247
GB,2000,m,35-44,96
GE,2000,m,35-44,113
GH,2000,m,35-44,1115
GN,2000,m,35-44,570
GR,2000,m,35-44,32
GT,2000,m,35-44,216
GU,2000,m,35-44,6
GW,2000,m,35-44,80
GY,2000,m,35-44,14
HK,2000,m,35-44,160
HN,2000,m,35-44,246
HT,2000,m,35-44,613
HU,2000,m,35-44,85
IE,2000,m,35-44,7
IL,2000,m,35-44,17
IN,2000,m,35-44,30829
IQ,2000,m,35-44,297
IR,2000,m,35-44,387
IT,2000,m,35-44,75
JM,2000,m,35-44,13
JO,2000,m,35-44,13
JP,2000,m,35-44,676
KE,2000,m,35-44,3548
KG,2000,m,35-44,205
KH,2000,m,35-44,1618
KI,2000,m,35-44,3
KM,2000,m,35-44,14
KP,2000,m,35-44,2927
KR,2000,m,35-44,988
KW,2000,m,35-44,32
KY,2000,m,35-44,1
KZ,2000,m,35-44,1379
LA,2000,m,35-44,166
LB,2000,m,35-44,20
LC,2000,m,35-44,1
LK,2000,m,35-44,695
LR,2000,m,35-44,127
LS,2000,m,35-44,517
LT,2000,m,35-44,145
LV,2000,m,35-44,124
LY,2000,m,35-44,86
MA,2000,m,35-44,1705
MD,2000,m,35-44,36
MH,2000,m,35-44,1
MK,2000,m,35-44,20
ML,2000,m,35-44,396
MM,2000,m,35-44,2781
MN,2000,m,35-44,171
MO,2000,m,35-44,25
MP,2000,m,35-44,9
MT,2000,m,35-44,1
MU,2000,m,35-44,18
MV,2000,m,35-44,2
MW,2000,m,35-44,1113
MX,2000,m,35-44,1162
MY,2000,m,35-44,1177
NA,2000,m,35-44,665
NC,2000,m,35-44,4
NE,2000,m,35-44,441
NG,2000,m,35-44,1836
NI,2000,m,35-44,147
NL,2000,m,35-44,41
NO,2000,m,35-44,3
NP,2000,m,35-44,1713
NZ,2000,m,35-44,6
OM,2000,m,35-44,11
PA,2000,m,35-44,61
PE,2000,m,35-44,1546
PF,2000,m,35-44,4
PG,2000,m,35-44,30
PK,2000,m,35-44,256
PL,2000,m,35-44,812
PR,2000,m,35-44,19
PT,2000,m,35-44,349
PY,2000,m,35-44,105
QA,2000,m,35-44,9
RO,2000,m,35-44,1799
RU,2000,m,35-44,596
RW,2000,m,35-44,824
SA,2000,m,35-44,213
SB,2000,m,35-44,8
SC,2000,m,35-44,4
SD,2000,m,35-44,1351
SE,2000,m,35-44,12
SG,2000,m,35-44,34
SI,2000,m,35-44,36
SK,2000,m,35-44,31
SL,2000,m,35-44,361
SN,2000,m,35-44,857
SO,2000,m,35-44,408
SR,2000,m,35-44,3
ST,2000,m,35-44,4
SV,2000,m,35-44,114
SY,2000,m,35-44,125
SZ,2000,m,35-44,249
TG,2000,m,35-44,144
TH,2000,m,35-44,2380
TM,2000,m,35-44,144
TN,2000,m,35-44,156
TO,2000,m,35-44,1
TT,2000,m,35-44,27
TZ,2000,m,35-44,3430
UA,2000,m,35-44,2385
UG,2000,m,35-44,2479
US,2000,m,35-44,906
UY,2000,m,35-44,45
UZ,2000,m,35-44,510
VC,2000,m,35-44,4
VN,2000,m,35-44,8209
VU,2000,m,35-44,1
WS,2000,m,35-44,1
YE,2000,m,35-44,493
ZA,2000,m,35-44,2135
ZM,2000,m,35-44,3045
AD,2000,m,45-54,0
AE,2000,m,45-54,5
AF,2000,m,45-54,129
AG,2000,m,45-54,0
AL,2000,m,45-54,24
AM,2000,m,45-54,63
AN,2000,m,45-54,0
AO,2000,m,45-54,482
AR,2000,m,45-54,419
AS,2000,m,45-54,1
AT,2000,m,45-54,42
AU,2000,m,45-54,24
AZ,2000,m,45-54,42
BA,2000,m,45-54,66
BB,2000,m,45-54,0
BD,2000,m,45-54,4718
BE,2000,m,45-54,55
BF,2000,m,45-54,133
BG,2000,m,45-54,3
BH,2000,m,45-54,5
BJ,2000,m,45-54,213
BN,2000,m,45-54,5
BO,2000,m,45-54,466
BR,2000,m,45-54,8623
BS,2000,m,45-54,4
BT,2000,m,45-54,24
BW,2000,m,45-54,267
BZ,2000,m,45-54,6
CA,2000,m,45-54,41
CD,2000,m,45-54,2549
CH,2000,m,45-54,7
CK,2000,m,45-54,0
CL,2000,m,45-54,150
CM,2000,m,45-54,284
CN,2000,m,45-54,25593
CO,2000,m,45-54,743
CR,2000,m,45-54,39
CU,2000,m,45-54,74
CZ,2000,m,45-54,89
DJ,2000,m,45-54,67
DK,2000,m,45-54,16
DO,2000,m,45-54,173
DZ,2000,m,45-54,491
EE,2000,m,45-54,56
EG,2000,m,45-54,476
ER,2000,m,45-54,32
ET,2000,m,45-54,1495
FI,2000,m,45-54,19
FJ,2000,m,45-54,5
FM,2000,m,45-54,0
FR,2000,m,45-54,211
GB,2000,m,45-54,87
GE,2000,m,45-54,63
GH,2000,m,45-54,811
GN,2000,m,45-54,282
GR,2000,m,45-54,24
GT,2000,m,45-54,177
GU,2000,m,45-54,9
GW,2000,m,45-54,64
GY,2000,m,45-54,7
HK,2000,m,45-54,211
HN,2000,m,45-54,277
HT,2000,m,45-54,350
HU,2000,m,45-54,104
IE,2000,m,45-54,6
IL,2000,m,45-54,24
IN,2000,m,45-54,24230
IQ,2000,m,45-54,205
IR,2000,m,45-54,295
IT,2000,m,45-54,58
JM,2000,m,45-54,15
JO,2000,m,45-54,9
JP,2000,m,45-54,1494
KE,2000,m,45-54,1630
KG,2000,m,45-54,115
KH,2000,m,45-54,1456
KI,2000,m,45-54,3
KM,2000,m,45-54,9
KP,2000,m,45-54,2519
KR,2000,m,45-54,853
KW,2000,m,45-54,21
KY,2000,m,45-54,0
KZ,2000,m,45-54,923
LA,2000,m,45-54,201
LB,2000,m,45-54,15
LC,2000,m,45-54,0
LK,2000,m,45-54,793
LR,2000,m,45-54,52
LS,2000,m,45-54,395
LT,2000,m,45-54,155
LV,2000,m,45-54,111
LY,2000,m,45-54,36
MA,2000,m,45-54,855
MD,2000,m,45-54,13
MH,2000,m,45-54,3
MK,2000,m,45-54,19
ML,2000,m,45-54,297
MM,2000,m,45-54,2161
MN,2000,m,45-54,68
MO,2000,m,45-54,22
MP,2000,m,45-54,9
MT,2000,m,45-54,1
MU,2000,m,45-54,19
MV,2000,m,45-54,5
MW,2000,m,45-54,585
MX,2000,m,45-54,1235
MY,2000,m,45-54,908
NA,2000,m,45-54,300
NC,2000,m,45-54,2
NE,2000,m,45-54,252
NG,2000,m,45-54,1091
NI,2000,m,45-54,108
NL,2000,m,45-54,25
NO,2000,m,45-54,6
NP,2000,m,45-54,1491
NR,2000,m,45-54,1
NZ,2000,m,45-54,8
OM,2000,m,45-54,12
PA,2000,m,45-54,37
PE,2000,m,45-54,1041
PF,2000,m,45-54,4
PG,2000,m,45-54,21
PK,2000,m,45-54,232
PL,2000,m,45-54,782
PR,2000,m,45-54,9
PT,2000,m,45-54,208
PY,2000,m,45-54,86
QA,2000,m,45-54,7
RO,2000,m,45-54,1684
RU,2000,m,45-54,402
RW,2000,m,45-54,393
SA,2000,m,45-54,158
SB,2000,m,45-54,8
SC,2000,m,45-54,1
SD,2000,m,45-54,1119
SE,2000,m,45-54,11
SG,2000,m,45-54,51
SI,2000,m,45-54,22
SK,2000,m,45-54,50
SL,2000,m,45-54,190
SN,2000,m,45-54,470
SO,2000,m,45-54,254
SR,2000,m,45-54,2
ST,2000,m,45-54,7
SV,2000,m,45-54,92
SY,2000,m,45-54,86
SZ,2000,m,45-54,138
TG,2000,m,45-54,109
TH,2000,m,45-54,2117
TM,2000,m,45-54,127
TN,2000,m,45-54,109
TT,2000,m,45-54,17
TZ,2000,m,45-54,2022
UA,2000,m,45-54,2007
UG,2000,m,45-54,1279
US,2000,m,45-54,904
UY,2000,m,45-54,41
UZ,2000,m,45-54,346
VC,2000,m,45-54,2
VN,2000,m,45-54,6713
VU,2000,m,45-54,10
WS,2000,m,45-54,1
YE,2000,m,45-54,314
ZA,2000,m,45-54,1146
ZM,2000,m,45-54,435
AD,2000,m,55-64,0
AE,2000,m,55-64,12
AF,2000,m,55-64,94
AG,2000,m,55-64,0
AL,2000,m,55-64,19
AM,2000,m,55-64,26
AN,2000,m,55-64,0
AO,2000,m,55-64,312
AR,2000,m,55-64,368
AS,2000,m,55-64,1
AT,2000,m,55-64,23
AU,2000,m,55-64,19
AZ,2000,m,55-64,30
BA,2000,m,55-64,58
BB,2000,m,55-64,0
BD,2000,m,55-64,3667
BE,2000,m,55-64,32
BF,2000,m,55-64,68
BG,2000,m,55-64,9
BH,2000,m,55-64,3
BJ,2000,m,55-64,103
BN,2000,m,55-64,7
BO,2000,m,55-64,340
BR,2000,m,55-64,5085
BS,2000,m,55-64,3
BT,2000,m,55-64,12
BW,2000,m,55-64,135
BZ,2000,m,55-64,3
CA,2000,m,55-64,32
CD,2000,m,55-64,1295
CH,2000,m,55-64,5
CK,2000,m,55-64,0
CL,2000,m,55-64,132
CM,2000,m,55-64,130
CN,2000,m,55-64,21429
CO,2000,m,55-64,610
CR,2000,m,55-64,28
CU,2000,m,55-64,55
CZ,2000,m,55-64,61
DJ,2000,m,55-64,60
DK,2000,m,55-64,11
DO,2000,m,55-64,125
DZ,2000,m,55-64,234
EE,2000,m,55-64,35
EG,2000,m,55-64,307
ER,2000,m,55-64,25
ET,2000,m,55-64,610
FI,2000,m,55-64,28
FJ,2000,m,55-64,4
FM,2000,m,55-64,0
FR,2000,m,55-64,125
GB,2000,m,55-64,75
GE,2000,m,55-64,45
GH,2000,m,55-64,495
GN,2000,m,55-64,203
GR,2000,m,55-64,19
GT,2000,m,55-64,112
GU,2000,m,55-64,6
GW,2000,m,55-64,39
GY,2000,m,55-64,6
HK,2000,m,55-64,236
HN,2000,m,55-64,214
HT,2000,m,55-64,147
HU,2000,m,55-64,58
IE,2000,m,55-64,4
IL,2000,m,55-64,10
IN,2000,m,55-64,15308
IQ,2000,m,55-64,135
IR,2000,m,55-64,344
IT,2000,m,55-64,54
JM,2000,m,55-64,6
JO,2000,m,55-64,14
JP,2000,m,55-64,1509
KE,2000,m,55-64,630
KG,2000,m,55-64,52
KH,2000,m,55-64,1373
KI,2000,m,55-64,8
KM,2000,m,55-64,3
KP,2000,m,55-64,1167
KR,2000,m,55-64,731
KW,2000,m,55-64,11
KY,2000,m,55-64,1
KZ,2000,m,55-64,439
LA,2000,m,55-64,177
LB,2000,m,55-64,17
LC,2000,m,55-64,1
LK,2000,m,55-64,484
LR,2000,m,55-64,17
LS,2000,m,55-64,198
LT,2000,m,55-64,74
LV,2000,m,55-64,64
LY,2000,m,55-64,29
MA,2000,m,55-64,485
MD,2000,m,55-64,13
MH,2000,m,55-64,5
MK,2000,m,55-64,20
ML,2000,m,55-64,235
MM,2000,m,55-64,1235
MN,2000,m,55-64,38
MO,2000,m,55-64,9
MP,2000,m,55-64,3
MT,2000,m,55-64,0
MU,2000,m,55-64,14
MV,2000,m,55-64,5
MW,2000,m,55-64,245
MX,2000,m,55-64,972
MY,2000,m,55-64,814
NA,2000,m,55-64,147
NC,2000,m,55-64,3
NE,2000,m,55-64,151
NG,2000,m,55-64,566
NI,2000,m,55-64,64
NL,2000,m,55-64,10
NO,2000,m,55-64,2
NP,2000,m,55-64,1294
NZ,2000,m,55-64,10
OM,2000,m,55-64,9
PA,2000,m,55-64,27
PE,2000,m,55-64,801
PF,2000,m,55-64,4
PG,2000,m,55-64,12
PK,2000,m,55-64,153
PL,2000,m,55-64,361
PR,2000,m,55-64,10
PT,2000,m,55-64,140
PY,2000,m,55-64,80
QA,2000,m,55-64,2
RO,2000,m,55-64,916
RU,2000,m,55-64,151
RW,2000,m,55-64,129
SA,2000,m,55-64,86
SB,2000,m,55-64,10
SC,2000,m,55-64,1
SD,2000,m,55-64,638
SE,2000,m,55-64,4
SG,2000,m,55-64,26
SI,2000,m,55-64,14
SK,2000,m,55-64,16
SL,2000,m,55-64,113
SN,2000,m,55-64,279
SO,2000,m,55-64,195
SR,2000,m,55-64,0
ST,2000,m,55-64,3
SV,2000,m,55-64,62
SY,2000,m,55-64,76
SZ,2000,m,55-64,37
TG,2000,m,55-64,48
TH,2000,m,55-64,1908
TM,2000,m,55-64,31
TN,2000,m,55-64,65
TO,2000,m,55-64,1
TT,2000,m,55-64,7
TZ,2000,m,55-64,1202
UA,2000,m,55-64,1062
UG,2000,m,55-64,607
US,2000,m,55-64,577
UY,2000,m,55-64,30
UZ,2000,m,55-64,213
VC,2000,m,55-64,0
VG,2000,m,55-64,1
VN,2000,m,55-64,5150
VU,2000,m,55-64,5
WS,2000,m,55-64,2
YE,2000,m,55-64,255
ZA,2000,m,55-64,435
